subregion,avg_temp,month
san augustine,7.51566265060241,Jan
san jacinto,8.66304347826087,Jan
san patricio,12.652577319587628,Jan
san saba,7.190062111801242,Jan
schleicher,7.478888888888889,Jan
scurry,5.426666666666667,Jan
shackelford,6.031538461538462,Jan
shelby,7.095726495726495,Jan
sherman,1.062937062937063,Jan
smith,6.772262773722628,Jan
somervell,6.7407407407407405,Jan
starr,13.562424242424242,Jan
stephens,5.408333333333333,Jan
sterling,5.876422764227642,Jan
stonewall,5.135,Jan
sutton,7.694090909090909,Jan
swisher,2.309090909090909,Jan
tarrant,6.427272727272728,Jan
taylor,6.2407407407407405,Jan
terrell,8.174698795180722,Jan
terry,3.960655737704918,Jan
throckmorton,5.171666666666667,Jan
titus,5.522413793103448,Jan
tom green,7.304545454545455,Jan
travis,9.14225352112676,Jan
trinity,8.487128712871288,Jan
tyler,8.797101449275361,Jan
upshur,6.2614457831325305,Jan
upton,6.920670391061453,Jan
uvalde,9.609049773755656,Jan
val verde,9.195560747663551,Jan
van zandt,6.287603305785124,Jan
victoria,11.858119658119659,Jan
walker,8.771844660194175,Jan
waller,9.708450704225353,Jan
ward,6.688983050847457,Jan
washington,9.783529411764706,Jan
webb,12.40578158458244,Jan
wharton,10.718421052631578,Jan
wheeler,2.293006993006993,Jan
wichita,4.55,Jan
wilbarger,3.949264705882353,Jan
willacy,14.075324675324675,Jan
williamson,8.418125,Jan
wilson,10.565384615384616,Jan
winkler,6.459130434782609,Jan
wise,5.5734375,Jan
wood,5.817647058823529,Jan
yoakum,3.6275,Jan
young,5.237692307692308,Jan
zapata,12.929931972789117,Jan
zavala,10.88663101604278,Jan
anderson,10.385806451612904,Feb
andrews,8.562857142857142,Feb
angelina,10.486440677966101,Feb
aransas,14.186666666666667,Feb
archer,7.806293706293706,Feb
armstrong,4.403846153846154,Feb
atascosa,13.116292134831461,Feb
austin,11.804395604395605,Feb
bailey,5.028181818181818,Feb
bandera,11.055339805825243,Feb
bastrop,11.459322033898305,Feb
baylor,7.159090909090909,Feb
bee,14.00655737704918,Feb
bell,10.172258064516129,Feb
bexar,12.591712707182321,Feb
blanco,10.55904761904762,Feb
borden,7.96,Feb
bosque,9.234246575342466,Feb
bowie,7.966666666666667,Feb
brazoria,12.645641025641025,Feb
brazos,11.7975,Feb
brewster,10.574912075029308,Feb
briscoe,4.823776223776224,Feb
brooks,15.564,Feb
brown,8.985401459854014,Feb
burleson,11.963541666666666,Feb
burnet,10.014482758620689,Feb
caldwell,11.753246753246753,Feb
calhoun,13.838000000000001,Feb
callahan,8.656060606060606,Feb
cameron,16.865811965811965,Feb
camp,8.41875,Feb
carson,4.3538461538461535,Feb
cass,8.562857142857142,Feb
castro,4.110852713178295,Feb
chambers,12.45,Feb
cherokee,10.08,Feb
childress,6.64,Feb
clay,7.504242424242424,Feb
cochran,5.226446280991736,Feb
coke,8.301587301587302,Feb
coleman,9.077272727272728,Feb
collin,8.122047244094489,Feb
collingsworth,5.719230769230769,Feb
colorado,11.970454545454546,Feb
comal,11.465,Feb
comanche,8.688489208633094,Feb
concho,9.790780141843971,Feb
cooke,7.891666666666667,Feb
coryell,9.690967741935484,Feb
cottle,6.503731343283582,Feb
crane,9.6904,Feb
crockett,9.53485576923077,Feb
crosby,6.375555555555556,Feb
culberson,8.432846715328466,Feb
dallam,3.374891774891775,Feb
dallas,9.105839416058394,Feb
dawson,7.2225,Feb
deaf smith,4.058571428571429,Feb
delta,7.506976744186047,Feb
denton,8.15,Feb
de witt,13.100806451612904,Feb
dickens,6.439285714285714,Feb
dimmit,14.267058823529412,Feb
donley,4.909230769230769,Feb
duval,14.24273127753304,Feb
eastland,8.079720279720279,Feb
ector,8.765648854961832,Feb
edwards,10.503649635036496,Feb
ellis,9.353676470588235,Feb
el paso,8.636301369863014,Feb
erath,8.855333333333334,Feb
falls,10.73362831858407,Feb
fannin,7.405737704918033,Feb
fayette,11.937956204379562,Feb
fisher,8.356910569105692,Feb
floyd,5.194696969696969,Feb
foard,6.75929203539823,Feb
fort bend,12.2136,Feb
franklin,7.807894736842106,Feb
freestone,10.445,Feb
frio,13.286577181208054,Feb
gaines,7.662770562770563,Feb
galveston,12.797674418604652,Feb
garza,7.191129032258065,Feb
gillespie,10.092258064516129,Feb
glasscock,8.003252032520326,Feb
goliad,13.963478260869564,Feb
gonzales,12.336,Feb
gray,4.3552447552447555,Feb
grayson,7.771830985915493,Feb
gregg,9.063636363636364,Feb
grimes,11.38425925925926,Feb
guadalupe,12.227884615384616,Feb
hale,5.507352941176471,Feb
hall,6.016788321167883,Feb
hamilton,9.061206896551724,Feb
hansford,3.6216783216783215,Feb
hardeman,6.672448979591837,Feb
hardin,11.4632,Feb
harris,12.35421686746988,Feb
harrison,9.560902255639098,Feb
hartley,3.8123809523809524,Feb
haskell,8.173076923076923,Feb
hays,11.065116279069768,Feb
hemphill,4.247692307692308,Feb
henderson,9.797826086956523,Feb
hidalgo,16.14252336448598,Feb
hill,9.462589928057554,Feb
hockley,5.73758389261745,Feb
hood,9.114814814814814,Feb
hopkins,7.658620689655172,Feb
houston,10.177222222222222,Feb
howard,8.195804195804197,Feb
hudspeth,7.679541984732825,Feb
hunt,7.652845528455284,Feb
hutchinson,4.386923076923077,Feb
irion,8.98235294117647,Feb
jack,7.95,Feb
jackson,13.272881355932203,Feb
jasper,10.641666666666667,Feb
jeff davis,8.07398119122257,Feb
jefferson,12.250735294117646,Feb
jim hogg,14.932911392405064,Feb
jim wells,14.963025210084034,Feb
johnson,9.244554455445545,Feb
jones,8.686614173228346,Feb
karnes,13.191346153846153,Feb
kaufman,8.622123893805309,Feb
kendall,10.926136363636363,Feb
kenedy,15.669230769230769,Feb
kent,7.298412698412698,Feb
kerr,9.91875,Feb
kimble,9.590769230769231,Feb
king,6.773484848484848,Feb
kinney,12.291534391534391,Feb
kleberg,15.517924528301887,Feb
knox,7.435294117647059,Feb
lamar,7.470588235294118,Feb
lamb,4.936,Feb
lampasas,9.671134020618556,Feb
la salle,13.885148514851485,Feb
lavaca,12.37112676056338,Feb
lee,11.325806451612904,Feb
leon,10.415894039735099,Feb
liberty,11.962352941176471,Feb
limestone,10.48828125,Feb
lipscomb,3.1888111888111887,Feb
live oak,13.913422818791947,Feb
llano,10.217424242424242,Feb
loving,9.416091954022988,Feb
lubbock,6.284090909090909,Feb
lynn,6.45703125,Feb
mcculloch,9.304242424242425,Feb
mclennan,9.917105263157895,Feb
